text_review,star_rating,lr_prediction,svm_prediction,rf_prediction,gb_prediction,nb_prediction,nn_feedforward_prediction,nn_lstm_prediction,roberta_prediction
"I really don't consider myself a Neiman's type of girl...
As a matter of fact, I don't really feel comfortable in Neiman's - it's extremely 'fancy' and high end for me.  But, I've gone in a handful of times and even bought a dress or two on sale at Neiman's in the past.  I admit, the quality associated with the designer labels at this store is pretty amazing.

Anyways, I felt some major pressure to register at Neiman's from my mom, so I met my mother-in-law-to-be at this Neiman's location on Sunday.  The housewares / registry department is extremely small... and although the woman working was sweet, she botched the spelling of Jared's name in the process.  Needless to say, i was not so impressed.

Fancy sums this department store up in my eyes - I'm much more of a Nordstrom's or Macy's or Bloomingdales type of girl!",4,4,4,5,5,2,3,5,3
"My husband took me here on a Friday night ...after hearing good things about it from coworkers.

We sat on the patio which had plenty of misters and overlooked a park, it was a very relaxing environment.

Our server, Carla, was as cute as could be and was so nice the entire evening. She was one of the most attentive servers that I have had in a long time. She was so genuine and really added to the experience that we had here...thank you Carla !!!

We ordered a bottle of red wine that the husband picked, I am not sure what it was but it was damn good ($23 for the bottle). As an appetizer we had the Piatto Misto, which was an assortment of Italian meats, cheeses, olives , and breadsticks ($14) and this is definetly enough for 2-3 people. The meats were excellent and the cheese was tasty also. My only recommendation would be for them to not cut the cheese into tiny little cubes...that was odd because the meat was sliced and you could not incorporate it very well.

For dinner we shared a pizza.. The Sofia..it had Scamorza (Smoked Mozzarella),Parma Prosciutto,Parmigiano Reggiano ($13). It was ooh soo tasty. We could not eat the whole thing...there was like 3 pieces that we ended up having boxed up.

Then we had dessert.....I am still in heaven just thinking about this dessert. It was the Dolce Della Casa...Slightly Charred Sweet Calzone
filled with Chocolate Hazelnut Sauce and Banana topped with Vanilla Ice Cream...OOOOOhhh my God. This was by far the best dessert that I have had in a while. It was so gratifying...I had goosebumps after the first bite. I would recommend ordering a small and sharing it because it was huge ($7). I can die a happy woman after that dessert...and if this was a first date ...that would have been a guarantee for sex !!! 

The community here in Verrado was absolutely amazing, I wish I would have known about this neighborhood before I bought my house in Goodyear. If you live nearby I would recommend checking this place out and spending time looking around the  neighborhood.",5,4,4,4,4,3,4,5,5
"I'm a sucker for a yummy coconut cupcake and Tammie Coe has the best around as far as I've tasted, and I've eaten a lot of bad coconut cupcakes -- all in the name of research of course.  Keep 'em coming, Tammie!",5,5,3,5,4,2,5,4,5
"I just cannot understand why this place is so highly rated. Could it be that people have never experienced barbeque outside of Arizona, so they have no basis of comparison? But even that cannot be true. We have Joe's in Gilbert, and even Famous Dave's is pretty darn good. 

I work a block from this location, so I have been there at least a dozen times. While not great, it is something different once in awhile, so I put in an appearance now and then. The food is not bad, per se, it is just not that good. The prices, on the other hand, are far too high for what you get. $11 gets you a ""large sandwich"" which is not very large, an order of fries, and a soda--RC brands. For a couple of bucks more I could get a combo platter at Famous Daves. 

Service is all business. I don't think I have ever seen a smile in the place. But it is fast. The place is usually dirty, but I am usually there right around lunch, so it might be better other times. 

Just not impressed at all. But...it beats the Burger King down the street which is the worst BK in Christendom. But that is another review.",2,3,3,5,4,1,2,2,3
"We went here because it was the only decent place we could find open after the Suns game. Fresh fish sandwich was delicious, as well as the shoestring fries. Great service, nice vibe, I'd go back.",4,4,4,4,4,4,4,5,4
"Simple but really great cajun food prepared in steamers right in front of you.  Selections include gumbo, pan roasts (a tomato-based broth with chunks of seafood), or seafood creole all with your choice of shrimp, crab, chicken, crawfish, oysters, or all five, with rice. They also have fresh oysters, jumbo shrimp cocktails, salads, and tasty seafood chowder, as well as the occasional lobster special. I've been probably 20 times and still never had a bad dish. The staff is friendly and helpful, and will adjust the spiciness of the dishes to your taste. By far the best option at the Talking Stick resort.

As another reviewer noted, this restaurant is really just a bar with a couple of tables, stuck right off the casino floor. This is definitely not a fine dining spot, with the clanging of slot machines and dead-eyed gamblers shuffling around fifteen feet away. Still, it's definitely worth a visit to Talking Stick. At $10-12 for lunch portions and $17-19 for huge dinner servings, and $25 for a massive platter of oysters, shrimp, crab, mussels, and clams, it's a fantastic value for the quality and tastiness of the food.  Good, reasonably priced seafood can be hard to come by in the valley, but this spot is a gem.",5,4,4,4,4,4,4,4,5
"I have been to this restaurant a couple of times and I always leave happy and satisfied. I love coming here for the view as it reminds me of home.
 
We came here once again for a special occasion which was a farewell dinner for my mom who was visiting from South Africa. I had made a reservation using Opentable and asked for a nice view as a treat to my mom on her final night.
 
The hostess reserved us a table with a splendid an unrestricted view. We had a very attentive waiter - Luis - who treated us with colorful and informative descriptions of the menu. He also took care of us with an exquisite after dinner treat seeing as how mom was leaving.
 
The dinner was exceptional - as always, so was the atmosphere, the company and the wine. Do go here!
 
I suggest arriving a little before the dinner reservation to enjoy drinks on the patio while watching the sunset...always a treat! Call ahead of time to find out whether the patio will be open - it has happened to me twice that it was reserved for private functions. (Which was totally my bad - but maybe someone else can benefit from it.)",4,5,5,4,4,4,4,4,5
"I've been to Buffalo Wild Wings before, but my first visit at this location was during UFC 117.

If you come here to watch fighting events like UFC I would recommend arriving 2 hours before the main card starts if you want a seat inside. I arrived an hour before the PPV portion of the fight started and didn't get a seat until half an hour in and it was outside. I ordered 12 regular wings and I was very underwhelmed. I felt the wings were overpriced because they are smaller than average.

The main reason why I went here was that they weren't charging a cover or bill minimum for the fight. Also, the atmosphere for a UFC fight was really good compared to the other BWW I went to in Tucson.

If you want a place with a good atmosphere for a sporting event, you should come to BWW. But your food expectations should be lowered a lot.",2,3,3,4,2,3,3,3,3
"There's a certain amazingness that comes from fresh made ice cream.  It's soft, creamy, and not filled with high fructose corn syrup and preservatives to keep it together for months in a freezer.  Growing up in Arizona, we always made homemade ice cream in the summer and if you've never experienced homemade ice cream, just go to Churn.
I had the banana ice cream with caramel sauce on top.  I can't say anything bad about it at all.  If someone doesn't like their ice cream, it's because they've been subject to all the fakeness added to ice cream in the stores and national ice cream shop chains.  
The shop has lots of toys and candy and knickknacks that will give you a sense of nostalgia.  I'll tell you what sounds like the best day ever:  riding my bike down Central on a beautiful Phoenix day... stopping in to Churn for an ice cream break (and then popping into one of the restaurants nearby for a cocktail).",5,5,5,5,4,5,5,4,5
"Food was decent.  Overpriced for what you get.  Had 2 Distrito margaritas, $10 each.  You'd think for $20 you'd catch a little buzz.  Not sure any alcohol was in them.  I may go back if someone else offers and pays.  Otherwise, no desire.",3,1,1,4,3,2,2,3,2
Prices are often way too high!,1,3,2,5,4,2,4,4,3
"This is a wonderful little find.  We sat on the 2nd floor patio and it was the perfect fix for a busy day.  We sipped wine in front of the fire and watched the sky change colors over Camelback Mountain.  The service was fabulous.  They didn't rush us and without asking, split our shared orders for us.  The food was fabulous!  OMG!  You HAVE to get the walnut Gorgonzola salad with the warm sweetened balsamic dressing.  Mmmm.  I would get that again in a heartbeat.  We also split a flatbread with fries and it was excellent as well.  I will definitely go back.",4,5,5,4,4,4,5,5,5
"Can't remember the last time I was at a Hard Rock Cafe. This visit was only memorable for 1) Amanda Peachey's gorgeous face and voice 2) the jungle like humidity inside the place.

Our servers were attentive. Our drinks were frequently refilled. But it's just not as ""hard rock"" when it's so family friendly. It's a very small space, and being in downtown Phoenix on a Saturday night in summer, it was sparsely populated as well. 

Maybe I'm missing the point, but overpriced drinks and signed guitars on the walls do not bang my shutters.",2,5,2,5,5,3,3,2,2
"I am not as enthusiastic about the Cornish Pasty Company as some, but if you are looking for this type of place to eat, you will probably enjoy the experience.

A Pasty is basically a turnover; at Cornish Pasty Company, it is a very big turnover.  One is a meal.  Here they precook them until they are almost done, then finish them when you order.  This process introduces a drying effect that detracts from the product.  They do serve a sauce with each pasty, and as the sauces we tried were quite good, you can use the sauce to counteract the dryness. When all is said and done, the pastys are tasty.  But not knock-your-socks-off great.

The atmosphere at Cornish Pasty Company is cramped and noisy.  It seems more like a college hangout than a restaurant, and this is not surprising because it is a college hangout, but one where the quality of the food has attracted a wider clientele.  If you like this kind of atmosphere, you will be right at home at one of the few small tables or at the bar.  I prefer the bar.

Prices are low (typically about $9 for a pasty), considering the size of the meal.

Hints:
1.  It is always crowded.  Try to come at an off hour, like 4:30 on a weekday.
2.  Skip the very average salads and the oven chips (dry, tasteless), and probably the other appetisers.  Just get a pasty.  If you are an abnormally big eater, follow it up with a dessert pasty.
3.  It is a bit hard to find.  Turn North on Hardy from University to find the Cornish Pasty Company in a small shopping center hidden by a large gas station.",4,2,5,4,5,2,3,2,3
"My wife and I live around the corner, hadn't eaten here in a few months. We got food for take out, Mongolian beef,kung po chicken,pad Thai noodles.  Mongolian beef, there were more white onions then scallions and it was very bland. Kung po chicken,lots of white meat chicken the whole dish only had one peanut and the taste of this dish was non existent. Very very Blah... Pad Thai noodles,the dish was dry and came out of the container in one giant clump. It tasted like plain noodles, i was glad I had peanut sauce in the fridge to,add to it. Then it was edible .... We will not be going back to G@S.. Very disappointed !!!! From now on it will be Jade palace on 92nd street. For take out Asian !!!!  Do yourself a favor go elsewhere !!!!",1,1,1,4,4,2,2,2,1
"Ok, so I have to share my morning experience. But first I must start off by saying this: I'm no moron. Honest. 

So, this morning I stopped for gas. My tank was getting dangerously low and there was no way I'd make it to work. That's okay, for I allotted time this morning for re-filling my tank. From my casa, I turned East on Indian School, vaguely remembering there's a Quick Trip nearby. Perfect. I had stopped there before. 

But it wasn't a Quick Trip I saw at the corner of Central and Indian School. Not wanting to risk running out of gas, I opted to stop here, at this ampm station. 

I pulled up to the closest gas tank, got out of my car, took off my gas cap and reached for the gas nozzle. Only then I discovered there was no pay-at-the-pump option. The short notice on the pump said to select my grade and start filling. ""Wow,"" I thought, ""It's so odd for a station to trust people - especially in this area - to not drive off without paying."" 

So, I followed the instructions, but nothing happened. I kept hitting the grade button. It kept beeping back at me. Still nothing. To top it off (no pun intended), the nozzle was wrapped in this huge rubber tube thing that compressed when I applied pressure to the handle. I had never seen anything like it. 

Thinking my particular pump was fuct up, I pulled my car up to the next one. That's when I saw it - this strange machine, like an Amtrack ticket dispenser. I approached with curiously. That's when I realized. You swipe your card at this central machine (or deposit cash, if that's your preference) and then go back to your pump. Ah-ha. This is how this station works. So, I did just that. I punched in my gas pump number (4) and went back to my car to re-fill the tank. Already annoyed at this point, I figured I'd pump enough gas to get me through the next couple of days. 

Only, it wasn't pumping. The long rubber thingy was hindering my ability to hook the nozzle up to my gas tank. UGH. So, that's when I flexed my muscles and applied enough pressure to squeeze out $12 worth of gas. Then I re-hooked the nozzle on its perch and walked back to the strange machine for my receipt - it told me to do so when I swiped my card. Only, no receipt came out. I punched the keypad with defiance and walked off. 

Stupid ampm station. Since when does any gas station benefit from being different? I'm so used to pay-at-the-pump; you just swipe your card, select your grade, pump your gas, grab your receipt and go. Quick Trip doesn't torment me like this. There is no rubber nozzle thingy in my way. Grr. Screw this. I'm never going back there again. 


(Disclaimer: Said writer of review graduated high school with a 3.98 G.P.A  and attended a well accredited college of her choice, where you went on to graduate with honors, having made the Dean's and President's Honor roll more than once. Said writer of review also has street smarts and is able to saddle and ride a horse, do unimaginable cool things with a twisty tie and throw some mean Muay Thai elbows.)",1,2,2,5,5,2,1,5,2
"I hate giving this place two stars, but the service has always been inconsistent. I've been coming here since 2006, and the food has always been excellent. Service has been spotty though; during my most recent visit our server blew off two of our drink orders and I had to order from the bar myself. Honestly if they would hire some frumpy old veteran servers then I bet everything would improve ten fold. Anyone else ever had this problem?",2,2,2,5,2,2,4,2,3
"Way over priced.  They replaced the valve below my toilet, the float in the tank and the small water line going from the toilet to the new valve.  It took them less than 30 minutes and my bill was just over $400.  I priced all the parts at a plumbing shop and it came out to $35,  and thats my retail price!!  They also charged me $69 just to show up at my house.  The plumber was knowledgeable I will give them that and if you really want to use these guys try and get a quote over the phone first.",2,1,1,5,1,1,1,1,1
"My husband and I went there for lunch today and because of vegegirly C.'s review about the deep fried pickles guess what we ordered??? OMG they were amazing! We ordered the cajun style and man oh man were they goooooood! We have never even heard of them but I am so glad we got them. So crispy and so hot! Mmmmm (and 1/2 priced)!!!

We got greeted and seated quickly. I ordered the chicken brie sandwhich and my husband had the meatloaf sandwhich. I am not sure where the comment about small portions came from because they were good sized and we were both stuffed!

The only change to the chicken brie would be to have the pears sliced thinner rather than having thick pears to bite through. Otherwise it was yummy.

I also ordered the ""Arizona Iced Tea"" for the first time since they didn't have fresh mint to make my mojito. I was pleasantly surprised at how light and refreshing it was.

We had the entertainment card which they didn't punch so we can use it again, and we will :)",4,4,4,4,5,4,5,5,4
"I ordered the BBQ sampler.  Chicken, pork, beef, and ribs!  yum!  

Then I washed it down with their red cream soda and root beer.  yum!

Me = SATISFIED!",4,4,4,4,4,4,4,4,4
"Pros:
1.  Excellent service.  Hell, it's damned right impeccable.  
2.  Superclean and comfortable rooms.
3.  Excellent amenities and top notch spa.

Cons.
1.  J-Dubb's a little spendy on the cocktail side.
2.  KEEP THE POOL BAR OPEN LATER! MY GOD!!!  I'd like to watch the sun set with a cocktail, rather than have the sidewalk rolled up around 5.",4,4,4,5,4,3,4,5,4
"Went here today Sunday about 8:50 and it was crowded but not to bad, about 1/2 hour wait. Im warning you now, dont ask how much longer after you put your name in if they told you how long when you checked in. 

About 10am is when it really got packed, just about when we got done. I ordered the chicken and waffles and i really liked it. I asked for some butter for my waffle because it didnt come with any and it made the dish perfect for me. The chicken had great flavor and when you take a bite with the waffle and butter and the syrup, heaven. I tried some bites without the butter and it wasnt even close to be the same for me. 
My grandma got some omellete and she gave me some because she knew she wouldnt finish it and i would order that also. The omelletes are pretty good size but my wifes dish, my sons and mine where not that much food especially for $9. We are use to getting enough food for 2 when you eat at breakfast places and slighty cheaper. Not complaining because it was good but be ready. 
There was 2 guys sitting next to use and trying to eat there 30 minute food challange. big ass egg plate with bacon and hash browns, they both only made thru about halfway.  I would definilty go back and get the same stuff. I also got a lemonade with mint and it was just right. My son really didnt like his reese's pancakes.
Id like to go back and try some of this stuff ham steak w/ gravy, chicken fried steak w/ hashbrowns, bannana pecan caramel french toast",5,2,2,4,4,2,3,3,4
"I really like Maizie's, but unfortunately will not get to go as often anymore. I hate to report that after our last visit, my husband received a bad bout of food poisoning. It was, in fact, his first time puking in approximately 10 years. It was not pleasant for him and it was not pleasant for me. For that reason, I guess I'm going to have to drop one star from my previous review. 

The thing is, I really love Maizie's. I love their menu and I love their atmosphere. Unfortunately, the portobello sandwich...or maybe it was the cottage cheese...just doesn't love my husband and that means I don't get to visit quite as often.  :(",4,3,3,5,3,3,4,5,3
Horrible service. Barely acknowledged when you first walked in. Slow service and waited for my check for 20 minutes before getting up to go get it myself. Will not come again.,1,1,1,1,1,1,1,2,1
"""Honey I Shrunk the Lunch Specials and the Restaurant, too!"" is more apropos of a name for Thai Basil. Now don't get me wrong, I like Thai Basil.  The food is decent and the interior is nice, but the tables/diners seem to be squished elbow-to-elbow New York style. Spartan, but slightly upscale, this restaurant ALWAYS seems to have a wait.  

The yellow curry here is my favorite with a delicious balance of coconut, spice, carrots chicken and potatoes.  I can't ever seem to get enough, and I really mean that.  The portions here are small, and while lunch portions are expectedly small, portions elsewhere (at Chanpen Thai, for example) are larger and less expensive. Elsewhere the Thai BBQ chicken comes with 1/2 a chicken, but at Thai Basil they give you three lonely strips like cheapos!  The massaman curry and pad thai are pretty good too, but I feel they're just OK.  I've had better.

Service is hit or miss here.  One thing that's consistent: they always seem to be understaffed. Once when I was dining alone (at a 4-person table) they had the nerve to ask me to move while in the middle of eating, to a 2-person table. 

To me, Thai Basil is style over substance.  Not impressed.  Next.",2,3,3,4,4,3,3,2,3
"I've eaten here many times, but none as bad as last night.
Service was excellent, and highly attentive.
Food, absolutely horrible.

My expectation was they would serve a steak on par with their seafood. After all, they were charging 39 bucks for a ribeye. 
What I was hoping for was a 1- 1-1/2' thick steak, cooked Pittsburgh style as I had ordered. 
What I got a a 3/4 in thick piece of meat that was mostly fat, gristle, and in no way resembled Pittsburgh Style. 
Salad, similar to something you could get at Chick Filet
Veggies, blah.
Bread basket, ample, but day old, and if not, it certainly wasn't fresh. 

In addition to bad food, we were crammed into a small room where we were nuts to butts with 6 other tables, listening to conversations ranging from someone's recent bout with pinkeye, and another couple who elected to speak entirely in French, until the waiter showed up, then it was like they turned off the French switch and suddenly began speaking English. 

I've had it with this place.
If I'm going to pay 150 bucks for dinner, it'll be at Mortons, or Maestro where the steaks are 1-1/2 in thick, cooked to perfection, and half of it doesnt wind up on the plate as fat and gristle",1,1,1,1,1,1,2,1,1
House special chicken is a must. This is not a fancy schmancy place so you know the food will be good! Never have had to wait for a table. The banana thingies they give you for dessert are awesome too. I give it 5 stars because of the huge selection. Pei Wei and PF Changs are ok but they have a limited menu. And a LARGE wait!,5,3,3,4,3,3,4,3,4
"Uh-oh. Where am I? 

The view from atop the mountain is superb. The city can be seen in all directions. Look, there's Downtown 1 and Downtown 2. And a bunch of houses under construction. And look at that sky. Wowza. 

Ok, so stopping to enjoy the view is one thing. Stopping to figure out where the hell you are is another. ""Don't worry,"" I told my friend. ""This city is laid out in a grid. If anything, we can walk down the other side of the mountain and cut back across on the street."" Oh, little did I know. 

Let me give you the back story. I've been to South Mountain twice. The first time was Christmas Eve 2006 when hardly a soul could be found. I met a friend there and we blazed our own trail. He always had his jeep in sight, so no harm in getting turned around. I trusted him to be my guide. 

The second and last time I hiked South Mountain was in February. My best friend flew in to Phoenix for the weekend (for my birthday) and since the weather was so great (in comparison to Detroit), she wanted to be out in the sun as much as possible. No problem. I knew where we could go for a good hike. Little did I know we'd get lost. 

We parked at the 24th St. entrance and picked our path, the Mormon Trail. We were on our way to discovering religion, we joked, passing by several other hikers. When we reached a recognizable summit, we stopped to appreciate the view... and then ponder our location. Should we turn around and go back the way we came? Were we still on the Mormon Trail? Where were the markers, the loops, the signs from God? We looked at each other, each of us having a take-no-prisoners personality when it comes to conquering great piles of rock. ""Onward!"" we shouted, punching the air with our fists. 

A little while later, we were once again stopped, our eye squinting against the retiring sun. I wouldn't call us ""lost,"" as this point in time, but that's only because I'm too stubborn to admit such an error. ""Let's ask somebody,"" I suggested. So, the next hiker dude that passed by, we stopped to ask him, ""Will this trail loop back around?"" ""Where do you want to go?"" he asked. That's when I realized we had tied our tennis shoes tight only to march into a rocky labyrinth. I told him where we parked and he said it was a good 2 hour hike back to our car, yet about another mile or two to the 48th St. entrance. Oh, no problem, I thought, since the city was laid out like a grid. Little did I know there are exceptions to that. 

We pressed on, thanking our impromptu guide friend. We hiked and hiked and hiked, passing by fellow hikers and mountain bikers. Finally, the trail opened up to flat land. We were close, or so we thought. When we reached the end of the trail, there was no parking lot and no street connecting us to where we needed to go. Instead, there was a long gravel road that weaved itself through a golf course. W.T.F.

We set out to walk the long gravel road until we hit Baseline, in which we were determined to cut back Westward and find my car, the only way we had of getting anywhere. The sun was setting. We had no time to waste. 

Having hiked about 15 miles already, our feet were heavy, like cinder blocks. But, we continued on. ""Let's hitch a ride,"" I suggested. People were gathering in their wonderful Ford pick-up trucks and jeeps. Hikers are friendly, I thought; somebody was bound to accept our plea for help. We opted to just do this ourselves. 

That's when a car slowed down. ""Ugh, creep,"" I thought. Instead, it was our helpful hiker friend from the summit. He asked if we needed a ride. My best friend and I exchanged glances. I thought, ""We can take him."" After a 70-second long pause, we accepted. She hopped in back and I rode shot gun, leaving my seat-belt off and the door unlocked, in case of a speedy getaway. 

We chit chatted on the drive down the road, which lead to another road, and then another and another, until we finally touched Baseline. Where the hell were we? That's when it hit us. We would have been walking another 7 miles on foot back to my car. All these windy, disjointed roads. Damn golf course. Damn South Mountain. Damn unmarked trails. It should change its name to the Moron Trail, for we just blazed it enthusiastically. 

The kind hiker man dropped us off at my car and drove away. With a sigh large enough to blanket the skyline, we unlocked my car, got inside and drove away - away from South Mountain, nature's beast and practical joker. 

We counted the miles and the minutes it would have taken us to get back to my car. Another hour, at least. The sun would have set by then and we would have missed our dinner engagement. Lucky for us, we stopped the right hiker friend at the right moment; otherwise, I may never have made it home to write this review.",3,4,4,4,4,1,5,3,4
"Food is OK - sometimes good - used to be great.  The service is terrible and a 25 minute wait for lunch on Saturday at 1:00?  Seriously?  It seems the restaurant relies on takeout - hostess ignored folks waiting to get on the wait list (irony intended) to serve carryout customers - could the tips have an influence?
We were finally seated - had Shrimp Pad Thai and Red Chicken Curry - the curry was very good, but shrimp was overcooked and the dish tasted substantially different from last visit.  The restaurant is incredibly loud, to the point of distracting.  
We used to go here often, but will be eating at other places from now on when Saturday shopping.",2,2,2,4,4,2,2,2,2
